# python3 ./apitest.py -f samplefbdata.txt -H -P 1 -G "2:1:1:1:1:1:3" --ispart 2 --ispart 3 --ispart 4 -C "0:3:2" -C "1:4:5" --maxcost 50000 --ctol 0.2 --itol 0.5 --ntol 1 --resnumb 10000 --maxres 100000 --smode 1
Item,Value,Cost,Pos,Team,Game,PTFeat
item91,7.0,3200.0,5,26,15,26
item92,10.0,4400.0,5,13,3,13
item93,36.0,3700.0,4,10,9,10
item94,10.0,4700.0,3,23,14,23
item95,2.0,2500.0,5,30,13,30
item96,7.0,2500.0,4,15,5,15
item97,5.0,5400.0,1,6,6,6
item98,0.0,3200.0,5,2,2,2
item99,13.85,6300.0,7,26,15,31
item100,14.0,4100.0,5,12,8,12
item101,19.0,3200.0,1,10,9,10
item102,24.0,3300.0,1,21,4,21
item103,2.0,3000.0,5,28,14,28
item104,5.0,3700.0,3,26,15,26
item105,9.0,4000.0,5,27,2,27
item106,-0.15,6900.0,7,13,3,31
item107,4.0,4100.0,2,13,3,13
item108,7.0,2700.0,4,21,4,21
item109,9.1,9300.0,7,6,6,31
item110,2.0,3500.0,5,27,2,27
item111,2.0,2700.0,5,4,4,4
item112,0.0,2600.0,3,22,7,22
item113,17.0,3600.0,1,10,9,10
item114,6.0,3400.0,3,14,11,14
item115,18.1,8300.0,7,18,12,31
item116,5.0,3100.0,5,23,14,23
item117,14.3,5100.0,7,28,14,31
item118,21.0,3900.0,5,26,15,26
item119,3.0,3600.0,5,15,5,15
item120,16.85,10900.0,7,27,2,31
item121,0.0,5400.0,5,3,3,3
item122,2.0,3900.0,3,17,6,17
item123,22.0,3200.0,1,26,15,26
item124,0.0,3900.0,3,8,8,8
item125,3.0,3600.0,5,25,10,25
item126,7.0,3300.0,3,16,12,16
item127,5.0,4500.0,5,27,2,27
item128,2.0,3700.0,5,15,5,15
item129,0.0,3900.0,5,13,3,13
item130,9.0,3000.0,4,21,4,21
item131,8.0,3500.0,3,19,13,19
item132,5.0,4000.0,5,8,8,8
item133,6.0,4200.0,1,29,11,29
item134,3.0,3400.0,4,25,10,25
item135,5.0,3100.0,2,21,4,21
item136,5.0,3600.0,5,7,7,7
item137,7.0,3100.0,5,25,10,25
item138,0.0,3900.0,5,29,11,29
item139,14.0,3400.0,5,6,6,6
item140,9.0,5500.0,5,13,3,13
item141,3.0,4300.0,5,16,12,16
item142,0.0,2500.0,4,3,3,3
item143,0.0,3200.0,6,8,8,8
item144,9.0,3700.0,3,24,15,24
item145,3.0,3600.0,3,9,1,9
item146,0.0,3200.0,4,5,5,5
item147,3.0,2600.0,3,15,5,15
item148,0.0,2700.0,5,4,4,4
item149,0.0,4400.0,6,6,6,6
item150,11.95,4300.0,7,29,11,31
item151,5.0,4300.0,3,12,8,12
item152,0.0,3000.0,4,19,13,19
item153,8.0,5200.0,2,9,1,9
item154,5.0,3600.0,6,25,10,25
item155,5.0,2700.0,4,29,11,29
item156,5.0,3600.0,3,20,9,20
item157,3.0,2700.0,4,20,9,20
item158,2.0,4700.0,2,30,13,30
item159,3.85,9400.0,7,16,12,31
item160,17.25,6700.0,7,23,14,31
item161,5.0,2700.0,4,24,15,24
item162,3.0,3100.0,1,30,13,30
item163,18.0,3100.0,5,29,11,29
item164,25.0,2700.0,5,10,9,10
item165,0.0,3900.0,5,7,7,7
item166,6.0,3700.0,3,6,6,6
item167,7.0,4300.0,5,17,6,17
item168,15.0,4400.0,5,21,4,21
item169,2.0,2900.0,4,27,2,27
item170,18.0,5500.0,5,19,13,19
item171,5.0,5000.0,1,14,11,14
item172,0.0,2900.0,1,21,4,21
item173,2.0,2600.0,4,6,6,6
item174,5.0,2800.0,5,11,10,11
item175,0.0,3800.0,5,18,12,18
item176,21.0,4200.0,5,25,10,25
item177,0.0,4400.0,5,17,6,17
item178,23.0,2800.0,2,17,6,17
item179,10.0,3800.0,3,28,14,28
item180,2.0,3500.0,4,14,11,14
item181,0.0,3600.0,3,1,1,1
item182,17.7,6800.0,7,15,5,31
item183,7.0,3200.0,6,17,6,17
item184,8.0,3100.0,1,4,4,4
item185,0.0,4100.0,6,28,14,28
item186,0.0,3500.0,6,14,11,14
item187,4.0,4500.0,3,3,3,3
item188,3.0,2700.0,4,12,8,12
item189,5.0,4000.0,5,22,7,22
item190,8.0,3600.0,3,19,13,19
item191,7.0,3100.0,3,18,12,18
item192,0.0,3900.0,1,20,9,20
item193,0.0,2400.0,5,28,14,28
item194,19.0,4000.0,5,14,11,14
item195,0.0,3400.0,5,1,1,1
item196,3.0,3200.0,3,25,10,25
item197,9.0,3200.0,5,12,8,12
item198,16.0,4400.0,5,6,6,6
item199,12.0,3400.0,2,23,14,23
item200,5.0,3000.0,3,5,5,5
item201,3.0,2700.0,4,9,1,9
item202,0.0,3800.0,4,28,14,28
item203,14.0,2600.0,3,30,13,30
item204,3.0,4600.0,5,14,11,14
item205,0.0,3600.0,5,27,2,27
item206,18.0,2800.0,5,20,9,20
item207,2.65,7500.0,7,8,8,31
item208,0.0,2800.0,4,22,7,22
item209,7.0,3600.0,5,17,6,17
item210,22.0,3900.0,4,25,10,25
item211,10.0,3500.0,2,18,12,18
item212,13.0,3900.0,5,16,12,16
item213,3.0,3600.0,1,24,15,24
item214,6.0,5600.0,6,9,1,9
item215,10.0,4000.0,4,11,10,11
item216,5.0,3400.0,5,10,9,10
item217,2.0,4000.0,6,3,3,3
item218,7.0,3400.0,5,29,11,29
item219,10.0,2900.0,5,21,4,21
item220,2.1,7800.0,7,24,15,31
item221,0.0,2700.0,5,30,13,30
item222,4.0,2600.0,6,11,10,11
item223,0.0,4900.0,1,15,5,15
item224,5.0,2800.0,6,11,10,11
item225,0.0,2600.0,3,26,15,26
item226,0.0,3600.0,4,13,3,13
item227,0.0,2800.0,2,22,7,22
item228,7.0,4700.0,5,4,4,4
item229,29.3,13500.0,7,19,13,31
item230,2.0,3300.0,6,1,1,1
item231,0.0,3900.0,1,4,4,4
item232,3.0,3800.0,1,8,8,8
item233,7.0,4300.0,5,23,14,23
item234,0.0,3200.0,3,30,13,30
item235,3.0,4100.0,5,15,5,15
item236,15.0,4800.0,2,26,15,26
item237,7.0,3300.0,2,20,9,20
item238,2.0,4300.0,6,5,5,5
item239,10.85,9100.0,7,11,10,31
item240,2.0,3300.0,1,22,7,22
item241,5.0,2800.0,4,1,1,1
item242,12.0,3300.0,5,2,2,2
item243,0.0,3800.0,1,27,2,27
item244,3.0,3900.0,3,27,2,27
item245,10.0,3700.0,5,28,14,28
item246,25.05,7400.0,7,7,7,31
item247,34.0,4200.0,5,3,3,3
item248,8.0,4000.0,5,26,15,26
item249,13.0,3300.0,6,29,11,29
item250,7.0,4900.0,5,10,9,10
item251,11.0,5100.0,5,13,3,13
item252,7.0,3600.0,4,10,9,10
item253,19.0,4600.0,2,12,8,12
item254,9.05,7100.0,7,25,10,31
item255,5.0,4800.0,6,23,14,23
item256,2.0,2500.0,4,2,2,2
item257,3.0,3000.0,4,7,7,7
item258,7.0,3700.0,2,7,7,7
item259,18.95,7600.0,7,17,6,31
item260,5.0,4300.0,2,16,12,16
item261,2.0,2700.0,5,1,1,1
item262,15.0,2700.0,5,1,1,1
item263,14.0,4000.0,3,13,3,13
item264,0.0,2700.0,3,28,14,28
item265,14.0,6000.0,5,24,15,24
item266,8.0,3400.0,5,30,13,30
item267,16.0,3700.0,6,16,12,16
item268,11.0,4400.0,2,3,3,3
item269,3.0,4300.0,5,24,15,24
item270,0.0,2800.0,6,27,2,27
item271,2.0,3200.0,1,24,15,24
item272,3.0,3300.0,6,30,13,30
item273,24.0,2300.0,3,8,8,8
item274,4.0,4000.0,6,29,11,29
item275,0.0,4600.0,1,23,14,23
item276,6.0,7700.0,7,14,11,31
item277,2.0,2700.0,4,4,4,4
item278,2.0,3400.0,5,23,14,23
item279,0.0,2800.0,3,14,11,14
item280,0.0,2400.0,4,30,13,30
item281,0.0,5100.0,5,5,5,5
item282,29.0,2600.0,5,24,15,24
item283,2.0,4200.0,3,15,5,15
item284,7.0,3200.0,4,26,15,26
